id,sentiment
H1,1
H2,1
H3,1
H4,1
H5,1
H6,1
H7,1
H8,1
H9,1
H10,1
H11,1
H12,1
H13,1
H14,1
H15,1
H16,1
H17,1
H18,1
H20,1
H21,0
H22,0
H23,1
H24,0
H25,0
H26,1
H27,1
H28,1
H29,1
H30,1
H31,1
H32,1
H33,1
H34,1
H35,1
H36,0
H37,1
H38,1
H39,1
H40,1
H42,1
H43,0
H44,1
H45,1
H46,1
H47,1
H48,1
H49,1
H50,1
H52,1
H53,1
H54,1
H55,0
H56,1
H57,1
H58,1
H59,1
H60,1
H61,1
H62,1
H63,1
H64,1
H65,1
H66,1
H67,1
H68,1
H69,1
H70,1
H71,1
H72,1
H73,1
H74,1
H75,1
H76,1
H77,1
H78,1
H79,1
H80,1
H81,1
H82,1
H83,0
H84,1
H85,1
H86,0
H87,0
H88,1
H89,1
H90,1
H91,1
H92,0
H93,1
H94,1
H95,0
H96,1
H98,1
H100,1
H101,1
H102,1
H103,1
H104,1
H105,1
H106,0
H107,1
H108,1
H109,1
H110,1
H111,1
H112,1
H113,1
H114,1
H115,1
H116,1
H117,1
H118,1
H119,1
H120,0
H121,1
H122,1
H123,1
H124,1
H125,1
H126,0
H127,1
H128,1
H129,1
H130,1
H131,1
H132,1
H133,1
H134,1
H135,1
H136,1
H137,0
H138,1
H139,1
H140,0
H141,1
H142,1
H143,1
H144,1
H145,1
H146,1
H147,1
H148,1
H149,1
H150,1
H151,1
H152,1
H153,1
H154,1
H155,1
H156,1
H157,0
H158,1
H159,1
H160,1
H161,1
H162,1
H163,1
H164,1
H165,0
H166,1
H167,1
H168,0
H169,0
H170,1
H171,1
H172,1
H173,1
H174,1
H175,1
H176,1
H177,1
H178,1
H179,1
H180,1
H181,0
H182,1
H183,0
H184,1
H185,1
H186,1
H187,1
H188,1
H189,1
H190,1
H191,1
H192,1
H193,1
H194,1
H195,1
H196,0
H197,1
H198,1
H199,0
H200,1
H201,1
H202,1
H203,1
H204,1
H205,1
H206,1
H207,1
H208,0
H209,1
H210,1
H211,1
H212,1
H213,1
H214,1
H215,1
H216,1
H217,0
H218,0
H219,0
H220,1
H221,1
H222,1
H223,1
H224,1
H225,1
H226,1
H227,1
H228,1
H229,1
H230,1
H231,1
H232,1
H233,1
H234,1
H235,1
H236,1
H237,1
H238,1
H239,1
H240,1
H241,0
H242,0
H243,1
H244,1
H245,1
H246,1
H247,1
H249,0
H250,1
H251,0
H252,0
H253,1
H254,1
H255,1
H256,1
H257,1
H258,1
H259,1
H260,1
H261,0
H262,0
H263,1
H264,1
H265,1
H266,1
H267,1
H268,1
H269,1
H270,1
H271,1
H272,1
H273,1
H274,0
H275,1
H276,1
H277,1
H278,0
H279,1
H280,0
H281,1
H282,1
H283,1
H284,1
H285,1
H286,1
H287,1
H288,1
H289,1
H290,1
H291,1
H292,1
H293,1
H294,1
H295,1
H296,1
H297,1
H298,1
H299,1
H300,1
H301,1
H302,1
H303,0
H304,1
H305,1
H306,1
H307,1
H308,1
H309,1
H310,1
H311,1
H312,1
H313,1
H314,1
H315,1
H316,1
H317,1
H318,1
H319,0
H320,0
H321,1
H322,1
H323,0
H324,1
H325,1
H326,1
H327,1
H328,1
H329,0
H330,1
H331,1
H332,1
H333,1
H334,1
H335,1
H336,1
H337,1
H338,1
H339,0
H340,1
H341,0
H342,1
H343,1
H344,1
H345,1
H346,0
H347,1
H348,1
H349,1
H350,1
H351,1
H352,1
H353,1
H354,1
H356,1
H357,1
H358,1
H359,0
H360,1
H361,1
H362,1
H363,1
H364,1
H365,0
H366,1
H367,1
H368,1
H369,1
H370,1
H371,1
H372,1
H373,1
H374,1
H375,1
H376,1
H377,1
H378,1
H379,1
H380,1
H381,1
H382,1
H383,1
H384,1
H385,1
H386,1
H387,1
H388,1
H389,1
H390,1
H391,1
H392,1
H393,1
H394,1
H395,1
H396,1
H397,1
H398,1
H399,1
H400,0
H401,1
H402,1
H403,1
H404,1
H405,1
H406,1
H407,1
H408,1
H409,1
H410,1
H411,1
H412,1
H413,1
H414,1
H415,1
H416,1
H417,1
H418,1
H419,1
H420,1
H421,1
H422,1
H423,1
H424,1
H425,1
H426,1
H427,1
H428,1
H429,1
H430,1
H431,0
H432,1
H433,1
H434,1
H435,1
H436,1
H437,1
H438,1
H439,1
H440,1
H441,1
H442,1
H443,1
H444,1
H445,1
H446,1
H447,1
H448,1
H449,1
H450,1
H451,1
H452,1
H453,1
H454,1
H455,1
H456,1
H457,1
H458,0
H459,1
H460,1
H461,1
H462,1
H463,1
H464,1
H465,1
H466,1
H467,1
H468,0
H469,1
H470,1
H471,0
H472,1
H473,1
H474,1
H475,1
H476,1
H477,1
H478,1
H479,1
H480,0
H481,1
H482,1
H483,1
H484,0
H485,1
H486,1
H487,1
H488,1
H489,1
H490,1
H491,1
H492,0
H493,1
H494,1
H495,1
H496,1
H497,1
H498,1
H499,1
H500,1
H501,1
H502,1
H503,1
H504,1
H505,1
H506,1
H507,1
H508,1
H509,1
H510,1
H511,1
H512,1
H513,1
H514,1
H515,1
H516,1
H517,0
H518,1
H519,1
H520,1
H521,1
H522,1
H523,1
H524,1
H525,1
H526,1
H527,1
H528,0
H529,1
H530,1
H531,0
H532,1
H533,1
H534,0
H535,1
H536,1
H537,1
H538,0
H539,1
H540,1
H541,1
H542,1
H543,1
H544,1
H545,1
H546,1
H547,0
H548,1
H549,0
H550,1
H551,1
H552,1
H553,1
H554,1
H555,0
H556,1
H557,1
H558,1
H559,1
H560,0
H561,1
H562,1
H563,1
H564,1
H565,1
H566,1
H567,0
H568,1
H569,0
H570,1
H571,1
H572,1
H573,1
H574,1
H575,1
H576,1
H577,1
H578,1
H579,1
H580,1
H581,0
H582,1
H583,0
H584,1
H585,1
H586,1
H587,1
H588,1
H589,0
H590,0
H591,1
H592,1
H593,1
H594,1
H595,1
H596,1
H597,1
H598,1
H599,1
H600,1
H601,1
H602,1
H603,1
H604,1
H605,1
H606,1
H607,1
H608,0
H609,1
H610,1
H611,1
H612,1
H613,1
H615,0
H616,1
H617,1
H618,1
H619,1
H620,1
H621,1
H622,1
H623,0
H624,1
H625,1
H626,1
H627,1
H628,1
H629,1
H630,1
H631,1
H632,0
H633,0
H634,1
H635,0
H636,1
H637,1
H638,1
H639,1
H640,1
H641,1
H642,1
H643,0
H644,1
H645,0
H646,0
H647,0
H648,0
H649,1
H650,1
H651,1
H652,1
H653,1
H654,1
H655,0
H656,1
H657,1
H658,1
H659,1
H660,1
H661,1
H662,0
H663,1
H664,1
H665,1
H666,1
H667,1
H668,1
H669,1
H670,1
H671,1
H672,1
H673,1
H674,1
H675,0
H676,0
H677,0
H678,0
H679,1
H680,0
H681,1
H682,0
H683,1
H684,1
H685,1
H687,1
H688,1
H689,1
H690,1
H691,1
H692,1
H693,1
H694,1
H695,1
H696,0
H697,1
H698,0
H699,1
H700,1
H701,1
H702,1
H703,1
H704,1
H705,1
H706,1
H707,1
H708,0
H709,1
H710,1
H711,0
H712,1
H713,1
H714,1
H715,1
H716,1
H717,1
H718,1
H719,0
H720,1
H721,1
H722,1
H723,1
H724,1
H725,1
H726,0
H727,1
H728,0
H729,1
H730,1
H731,1
H732,1
H733,1
H734,0
H735,1
H736,1
H737,1
H738,1
H739,1
H740,1
H741,1
H742,0
H743,1
H744,1
H745,1
H746,1
H747,1
H748,1
H749,1
H750,1
H751,1
H752,1
H753,1
H754,1
H755,1
H756,1
H757,1
H758,1
H759,1
H760,1
H761,1
H762,1
H763,1
H764,1
H765,1
H766,0
H767,1
H768,1
H769,1
H770,1
H771,1
H772,1
H773,1
H774,1
H775,1
H776,1
H777,1
H778,1
H779,1
H780,1
H781,1
H782,1
H783,1
H784,1
H786,1
H787,1
H788,1
H789,1
H790,1
H791,1
H792,1
H793,1
H794,1
H795,1
H796,0
H797,0
H798,1
H799,1
H800,1
H801,1
H802,1
H803,1
H804,1
H805,1
H806,1
H807,1
H808,1
H809,1
H810,1
H811,1
H812,1
H813,1
H814,1
H815,1
H816,1
H817,1
H818,1
H819,0
H820,1
H821,1
H822,1
H823,1
H824,0
H825,1
H826,1
H827,0
H828,0
H829,1
H830,1
H831,1
H832,1
H833,1
H834,1
H835,1
H836,1
H837,1
H838,0
H839,1
H840,1
H841,1
H842,0
H843,1
H844,0
H845,1
H846,1
H847,1
H848,1
H849,1
H850,0
H851,1
H852,0
H853,1
H854,1
H855,0
H856,1
H857,1
H858,1
H859,1
H860,1
H861,0
H862,1
H863,1
H864,1
H865,1
H866,1
H867,1
H868,1
H869,1
H870,1
H871,1
H872,1
H873,1
H874,1
H875,1
H876,1
H877,1
H878,1
H879,1
H880,0
H881,1
H882,1
H883,1
H884,1
H885,0
H886,1
H887,1
H888,1
H889,0
H890,1
H891,0
H892,1
H893,1
H894,1
H895,1
H896,0
H897,1
H898,1
H899,1
H900,1
H901,1
H902,0
H903,1
H904,1
H905,0
H906,1
H907,0
H908,0
H909,1
H910,1
H911,1
H912,0
H913,1
H914,1
H915,0
H916,0
H917,0
H918,1
H919,1
H920,0
H921,1
H922,1
H923,1
H924,1
H925,1
H926,1
H927,1
H928,1
H929,1
H930,1
H931,1
H932,1
H933,1
H934,1
H935,1
H936,1
H937,1
H938,1
H939,1
H940,1
H941,1
H942,0
H943,0
H944,1
H945,1
H946,0
H947,0
H948,1
H949,1
H950,1
H951,1
H952,1
H953,1
H954,1
H955,0
H956,1
H957,0
H958,0
H959,1
H960,1
H961,1
H962,1
H963,0
H964,1
H965,1
H966,1
H967,1
H968,1
H969,1
H970,1
H971,0
H972,1
H973,1
H974,1
H975,1
H976,1
H977,1
H978,1
H979,1
H980,1
H981,1
H982,0
H983,0
H984,1
H985,1
H986,1
H987,1
H988,1
H989,1
H990,1
H991,0
H992,0
H993,1
H994,0
H995,1
H996,1
H997,1
H998,1
H999,1
H1000,1
H1001,1
H1002,1
H1003,1
H1004,1
H1005,1
H1006,1
H1007,1
H1008,1
H1009,1
H1010,1
H1011,1
H1012,1
H1013,1
H1014,1
H1015,1
H1016,1
H1017,1
H1018,1
H1019,1
H1020,1
H1021,1
H1022,1
H1023,1
H1024,1
H1025,1
H1026,1
H1027,1
H1028,1
H1029,0
H1030,1
H1031,1
H1032,1
H1033,1
H1034,1
H1035,1
H1036,1
H1037,1
H1038,1
H1039,1
H1040,1
H1041,1
H1042,1
H1043,1
H1044,1
H1045,1
H1046,1
H1047,1
H1048,1
H1049,0
H1050,1
H1051,1
H1052,1
H1053,1
H1054,1
H1055,0
H1056,1
H1057,0
H1058,1
H1059,0
H1060,1
H1061,1
H1062,1
H1063,1
H1064,1
H1065,0
H1066,1
H1067,1
H1068,1
H1069,1
H1070,1
H1071,1
H1072,1
H1073,1
H1074,1
H1075,1
H1076,1
H1077,1
H1078,1
H1079,1
H1080,0
H1081,1
H1082,1
H1083,1
H1084,1
H1085,1
H1086,1
H1087,1
H1088,1
H1089,1
H1090,1
H1091,1
H1092,0
H1093,1
H1094,1
H1095,1
H1096,1
H1097,1
H1098,1
H1099,1
H1100,1
H1101,0
H1103,1
H1104,1
H1105,1
H1106,0
H1107,1
H1108,1
H1109,0
H1110,1
H1111,1
H1112,1
H1113,1
H1114,1
H1115,1
H1116,0
H1117,1
H1118,1
H1119,1
H1120,1
H1121,1
H1122,1
H1123,1
H1124,0
H1125,1
H1126,1
H1127,0
H1128,0
H1129,1
H1130,1
H1131,1
H1132,1
H1133,1
H1134,0
H1135,1
H1136,0
H1137,1
H1138,1
H1139,0
H1140,0
H1141,0
H1142,1
H1143,0
H1144,0
H1145,1
H1146,1
H1147,1
H1148,1
H1149,1
H1150,1
H1151,0
H1152,1
H1153,1
H1154,0
H1155,1
H1156,1
H1157,1
H1158,1
H1159,1
H1160,1
H1161,0
H1162,1
H1163,1
H1164,1
H1165,1
H1166,1
H1167,1
H1168,1
H1169,1
H1170,0
H1171,1
H1172,0
H1173,1
H1174,0
H1175,0
H1176,0
H1177,1
H1178,1
H1179,1
H1180,1
H1181,1
H1182,0
H1183,1
H1184,1
H1185,0
H1186,0
H1187,0
H1188,0
H1189,1
H1190,1
H1191,1
H1192,1
H1193,0
H1194,0
H1195,0
H1196,1
H1197,1
H1198,1
H1199,1
H1200,0
H1201,1
H1202,1
H1203,1
H1204,1
H1205,1
H1206,1
H1207,0
H1208,1
H1209,1
H1210,1
H1211,1
H1212,1
H1213,1
H1214,1
H1215,1
H1216,1
H1217,1
H1218,1
H1219,1
H1220,1
H1221,1
H1222,0
H1223,0
H1224,1
H1225,1
H1226,1
H1227,1
H1228,1
H1229,1
H1230,1
H1231,0
H1232,1
H1233,1
H1234,1
H1235,1
H1236,1
H1237,1
H1238,1
H1239,1
H1240,1
H1241,1
H1242,1
H1243,1
H1245,1
H1246,1
H1247,1
H1248,1
H1249,1
H1250,1
H1251,1
H1252,0
H1253,1
H1254,1
H1255,0
H1256,0
H1258,1
H1259,1
H1260,1
H1261,1
H1262,1
H1263,1
H1264,1
H1265,1
H1266,1
H1267,1
H1268,1
H1269,1
H1270,1
H1271,1
H1272,1
H1273,1
H1274,1
H1275,1
H1276,1
H1277,1
H1278,1
H1279,1
H1280,1
H1281,1
H1282,1
H1283,1
H1284,1
H1285,1
H1286,1
H1287,1
H1288,1
H1289,1
H1290,1
H1291,1
H1292,1
H1293,1
H1294,1
H1295,1
H1296,0
H1297,1
H1298,1
H1299,1
H1300,1
H1301,1
H1302,1
H1303,0
H1304,1
H1305,1
H1306,1
H1307,1
H1308,1
H1309,1
H1310,1
H1311,1
H1312,1
H1313,1
H1314,1
H1315,1
H1316,1
H1317,0
H1318,0
H1319,1
H1320,1
H1321,1
H1322,1
H1323,1
H1324,1
H1325,1
H1326,1
H1327,1
H1328,1
H1329,1
H1330,1
H1331,1
H1332,1
H1333,1
H1334,1
H1335,1
H1336,1
H1337,1
H1338,1
H1339,1
H1340,1
H1341,1
H1342,1
H1343,1
H1344,1
H1345,0
H1346,1
H1347,1
H1348,0
H1349,0
H1350,1
H1351,0
H1352,1
H1353,1
H1354,0
H1355,1
H1356,0
H1357,1
H1358,1
H1359,1
H1360,1
H1361,1
H1362,1
H1363,1
H1364,0
H1365,1
H1366,1
H1367,1
H1368,1
H1369,0
H1370,1
H1371,1
H1372,1
H1373,1
H1374,1
H1375,1
H1376,1
H1377,1
H1378,1
H1379,0
H1380,1
H1381,1
H1382,1
H1383,1
H1384,1
H1385,0
H1386,1
H1387,1
H1388,1
H1389,1
H1390,0
H1392,1
H1393,1
H1394,0
H1395,1
H1396,1
H1397,1
H1398,1
H1399,0
H1400,1
H1401,1
H1402,1
H1403,1
H1404,1
H1405,1
H1406,1
H1407,1
H1408,1
H1409,1
H1410,1
H1411,1
H1412,1
H1413,1
H1414,1
H1415,1
H1416,1
H1417,1
H1418,1
H1419,1
H1420,1
H1421,1
H1422,1
H1423,0
H1424,1
H1425,1
H1426,1
H1427,1
H1428,1
H1429,1
H1430,1
H1431,1
H1432,1
H1433,0
H1434,1
H1435,1
H1436,1
H1437,1
H1438,1
H1439,1
H1440,1
H1441,1
H1442,1
H1443,1
H1444,1
H1445,1
H1446,1
H1447,1
H1448,0
H1449,1
H1450,0
H1451,1
H1452,1
H1453,1
H1454,1
H1456,1
H1457,1
H1458,0
H1459,1
H1460,0
H1461,0
H1462,1
H1463,1
H1464,1
H1465,1
H1466,0
H1467,0
H1468,0
H1469,1
H1470,1
H1471,0
H1472,1
H1473,0
H1474,0
H1475,1
H1476,1
H1477,1
H1478,1
H1479,1
H1480,0
H1481,1
H1482,1
H1483,1
H1484,1
H1485,1
H1486,1
H1487,1
H1488,1
H1490,1
H1491,1
H1492,1
H1493,1
H1494,1
H1495,1
H1496,1
H1497,1
H1498,1
H1499,1
H1500,1
H1501,0
H1502,1
H1503,1
H1504,1
H1505,1
H1506,1
H1507,1
H1508,1
H1509,1
H1510,1
H1511,1
H1512,1
H1513,1
H1514,1
H1515,1
H1516,0
H1517,1
H1518,1
H1519,1
H1520,1
H1521,0
H1522,1
H1523,1
H1524,1
H1525,1
H1526,1
H1527,1
H1528,1
H1529,1
H1530,1
H1531,1
H1532,1
H1533,1
H1534,1
H1535,1
H1536,1
H1537,0
H1538,1
H1539,1
H1540,1
H1541,1
H1542,1
H1543,1
H1544,1
H1545,1
H1546,1
H1547,1
H1548,1
H1549,0
H1550,1
H1551,1
H1552,1
H1553,1
H1554,1
H1555,1
H1556,1
H1557,1
H1558,1
H1559,1
H1560,1
H1561,1
H1562,1
H1563,1
H1564,1
H1565,1
H1566,1
H1567,1
H1568,1
H1569,1
H1570,1
H1571,1
H1572,1
H1573,1
H1574,1
H1575,1
H1576,1
H1577,1
H1578,1
H1579,1
H1580,1
H1581,1
H1582,1
H1583,1
H1584,1
H1585,1
H1586,1
H1587,1
H1588,1
H1589,1
H1590,1
H1591,1
H1592,1
H1593,1
H1594,1
H1595,1
H1596,1
H1597,1
H1598,1
H1599,1
H1600,1
H1601,1
H1602,1
H1603,1
H1604,1
H1605,1
H1606,1
H1607,1
H1608,1
H1609,1
H1610,1
H1611,1
H1612,1
H1613,1
H1614,0
H1615,0
H1616,1
H1617,1
H1618,1
H1619,1
H1620,1
H1621,1
H1622,1
H1623,1
H1624,1
H1625,1
H1626,1
H1627,1
H1628,1
H1629,1
H1630,1
H1631,1
H1632,1
H1633,1
H1634,1
H1635,1
H1636,1
H1637,1
H1638,1
H1639,1
H1640,1
H1641,1
H1642,1
H1643,1
H1644,1
H1645,1
H1646,1
H1647,1
H1648,1
H1649,1
H1650,1
H1651,1
H1652,1
H1653,1
H1654,1
H1655,1
H1656,1
H1657,1
H1658,1
H1659,1
H1660,1
H1661,1
H1662,1
H1663,1
H1664,1
H1665,1
H1666,1
H1667,1
H1668,1
H1669,1
H1670,1
H1671,1
H1672,1
H1673,1
H1674,1
H1675,1
H1676,1
H1677,1
H1678,1
H1679,1
H1680,0
H1681,1
H1682,1
H1683,1
H1684,1
H1685,1
H1686,1
H1687,1
H1688,1
H1689,1
H1690,1
H1691,1
H1692,0
H1693,1
H1694,1
H1695,0
H1696,1
H1697,1
H1698,1
H1699,1
H1700,1
H1701,1
H1702,0
H1703,1
H1704,0
H1705,0
H1706,1
H1707,1
H1708,1
H1709,1
H1710,1
H1711,1
H1712,0
H1713,1
H1714,1
H1715,1
H1716,1
H1717,0
H1718,0
H1719,1
H1720,1
H1721,1
H1722,0
H1723,1
H1724,1
H1725,1
H1726,1
H1727,1
H1728,1
H1729,1
H1730,1
H1731,1
H1732,0
H1733,1
H1734,1
H1735,1
H1736,1
H1737,1
H1738,1
H1739,1
H1740,1
H1741,0
H1742,1
H1743,1
H1744,1
H1745,1
H1746,1
H1747,1
H1748,0
H1749,1
H1750,1
H1751,1
H1752,1
H1753,1
H1754,1
H1755,1
H1756,1
H1757,1
H1758,0
H1759,1
H1760,1
H1761,1
H1762,1
H1763,1
H1764,1
H1765,1
H1766,1
H1767,1
H1768,1
H1769,1
H1770,1
H1771,1
H1772,1
H1773,1
H1774,1
H1775,1
H1776,1
H1777,1
H1778,1
H1779,1
H1780,1
H1781,1
H1782,1
H1783,1
H1784,1
H1785,1
H1786,1
H1787,1
H1788,1
H1789,1
H1790,1
H1791,0
H1792,1
H1793,1
H1794,1
H1795,1
H1796,1
H1797,0
H1798,1
H1799,1
H1800,1
H1801,1
H1802,1
H1803,1
H1804,1
H1805,0
H1806,0
H1807,1
H1808,1
H1809,0
H1810,1
H1811,1
H1812,1
H1813,1
H1814,1
H1815,1
H1816,1
H1817,0
H1818,1
H1819,1
H1820,0
H1821,1
H1822,1
H1823,1
H1824,1
H1825,0
H1826,1
H1827,1
H1828,1
H1829,1
H1830,1
H1831,1
H1832,1
H1833,1
H1834,1
H1835,0
H1836,1
H1838,1
H1839,1
H1840,1
H1841,1
H1842,1
H1843,1
H1844,1
H1845,0
H1846,0
H1847,0
H1848,1
H1849,1
H1850,1
H1851,1
H1852,1
H1853,1
H1854,1
H1855,1
H1856,1
H1857,1
H1858,1
H1859,1
H1860,1
H1861,0
H1862,1
H1863,1
H1864,1
H1865,1
H1866,1
H1867,1
H1868,0
H1869,1
H1870,0
H1871,0
H1872,0
H1873,1
H1874,1
H1875,1
H1876,0
H1877,1
H1878,1
H1879,0
H1880,0
H1881,1
H1882,1
H1883,1
H1884,1
H1885,1
H1886,1
H1887,1
H1888,0
H1889,1
H1890,1
H1891,1
H1892,1
H1893,1
H1894,0
H1895,1
H1896,1
H1897,0
H1898,1
H1899,1
H1900,0
H1901,1
H1902,0
H1903,1
H1904,1
H1905,1
H1906,1
H1907,1
H1908,1
H1909,1
H1910,0
H1911,1
H1912,1
H1913,1
H1914,1
H1915,1
H1916,1
H1917,1
H1918,1
H1919,1
H1920,1
H1921,1
H1922,1
H1923,1
H1924,1
H1925,1
H1926,1
H1927,1
H1928,1
H1929,1
H1930,1
H1931,1
H1932,1
H1933,1
H1934,1
H1935,1
H1936,1
H1937,1
H1938,1
H1939,1
H1940,1
H1941,1
H1942,1
H1943,1
H1944,1
H1945,1
H1946,1
H1947,1
H1948,1
H1949,1
H1950,1
H1951,1
H1952,0
H1953,1
H1954,1
H1955,1
H1956,1
H1957,1
H1958,1
H1959,1
H1960,1
H1961,1
H1962,1
H1963,1
H1964,1
H1965,1
H1966,1
H1967,1
H1968,1
H1969,1
H1970,1
H1971,1
H1972,1
H1973,1
H1974,0
H1975,1
H1976,1
H1977,1
H1978,1
H1979,1
H1980,1
H1981,1
H1982,1
H1983,0
H1984,1
H1985,1
H1986,0
H1987,1
H1988,1
H1989,1
H1990,1
H1991,1
H1992,1
H1993,1
H1994,1
H1995,1
H1996,1
H1997,1
H1998,1
H1999,1
H2000,1
H2001,1
H2002,1
H2003,0
H2004,0
H2005,1
H2006,1
H2007,1
H2008,1
H2009,1
H2010,1
H2011,1
H2012,1
H2013,1
H2014,1
H2015,1
H2016,1
H2017,1
H2018,1
H2019,1
H2020,1
H2021,1
H2022,1
H2023,1
H2024,1
H2025,1
H2026,1
H2027,1
H2028,1
H2029,1
H2030,0
H2031,1
H2032,1
H2033,1
H2034,1
H2035,1
H2036,1
H2037,1
H2038,1
H2039,1
H2040,1
H2041,1
H2042,1
H2043,1
H2044,1
H2045,1
H2046,1
H2047,1
H2048,0
H2049,1
H2050,1
H2051,1
H2052,1
H2053,1
H2054,1
H2055,1
H2056,0
H2057,1
H2058,1
H2059,1
H2060,1
H2061,1
H2062,1
H2063,1
H2064,1
H2065,1
H2066,1
H2067,1
H2068,1
H2069,1
H2070,1
H2071,1
H2072,1
H2073,1
H2074,1
H2075,1
H2076,1
